"","links","urls"
"1","April 30, 1789","http://www.presidency.ucsb.edu/ws/index.php?pid=25800"
"2","March 4, 1793","http://www.presidency.ucsb.edu/ws/index.php?pid=25801"
"3","March 4, 1797","http://www.presidency.ucsb.edu/ws/index.php?pid=25802"
"4","March 4, 1801","http://www.presidency.ucsb.edu/ws/index.php?pid=25803"
"5","March 4, 1805","http://www.presidency.ucsb.edu/ws/index.php?pid=25804"
"6","March 4, 1809","http://www.presidency.ucsb.edu/ws/index.php?pid=25805"
"7","March 4, 1813","http://www.presidency.ucsb.edu/ws/index.php?pid=25806"
"8","March 4, 1817","http://www.presidency.ucsb.edu/ws/index.php?pid=25807"
"9","March 4, 1821","http://www.presidency.ucsb.edu/ws/index.php?pid=25808"
"10","March 4, 1825","http://www.presidency.ucsb.edu/ws/index.php?pid=25809"
"11","March 4, 1829","http://www.presidency.ucsb.edu/ws/index.php?pid=25810"
"12","March 4, 1833","http://www.presidency.ucsb.edu/ws/index.php?pid=25811"
"13","March 4, 1837","http://www.presidency.ucsb.edu/ws/index.php?pid=25812"
"14","March 4, 1841","http://www.presidency.ucsb.edu/ws/index.php?pid=25813"
"15","March 4, 1845","http://www.presidency.ucsb.edu/ws/index.php?pid=25814"
"16","March 5, 1849","http://www.presidency.ucsb.edu/ws/index.php?pid=25815"
"17","March 4, 1853","http://www.presidency.ucsb.edu/ws/index.php?pid=25816"
"18","March 4, 1857","http://www.presidency.ucsb.edu/ws/index.php?pid=25817"
"19","March 4, 1861","http://www.presidency.ucsb.edu/ws/index.php?pid=25818"
"20","March 4, 1865","http://www.presidency.ucsb.edu/ws/index.php?pid=25819"
"21","March 4, 1869","http://www.presidency.ucsb.edu/ws/index.php?pid=25820"
"22","March 4, 1873","http://www.presidency.ucsb.edu/ws/index.php?pid=25821"
"23","March 5, 1877","http://www.presidency.ucsb.edu/ws/index.php?pid=25822"
"24","March 4, 1881","http://www.presidency.ucsb.edu/ws/index.php?pid=25823"
"25","March 4, 1885","http://www.presidency.ucsb.edu/ws/index.php?pid=25824"
"26","March 4, 1889","http://www.presidency.ucsb.edu/ws/index.php?pid=25825"
"27","March 4, 1893","http://www.presidency.ucsb.edu/ws/index.php?pid=25826"
"28","March 4, 1897","http://www.presidency.ucsb.edu/ws/index.php?pid=25827"
"29","March 4, 1901","http://www.presidency.ucsb.edu/ws/index.php?pid=25828"
"30","March 4, 1905","http://www.presidency.ucsb.edu/ws/index.php?pid=25829"
"31","March 4, 1909","http://www.presidency.ucsb.edu/ws/index.php?pid=25830"
"32","March 4, 1913","http://www.presidency.ucsb.edu/ws/index.php?pid=25831"
"33","March 4, 1917","http://www.presidency.ucsb.edu/ws/index.php?pid=25832"
"34","March 4, 1921","http://www.presidency.ucsb.edu/ws/index.php?pid=25833"
"35","March 4, 1925","http://www.presidency.ucsb.edu/ws/index.php?pid=25834"
"36","March 4, 1929","http://www.presidency.ucsb.edu/ws/index.php?pid=21804"
"37","March 4, 1933","http://www.presidency.ucsb.edu/ws/index.php?pid=14473"
"38","January 20, 1937","http://www.presidency.ucsb.edu/ws/index.php?pid=15349"
"39","January 20, 1941","http://www.presidency.ucsb.edu/ws/index.php?pid=16022"
"40","January 20, 1945","http://www.presidency.ucsb.edu/ws/index.php?pid=16607"
"41","January 20, 1949","http://www.presidency.ucsb.edu/ws/index.php?pid=13282"
"42","January 20, 1953","http://www.presidency.ucsb.edu/ws/index.php?pid=9600"
"43","January 21, 1957","http://www.presidency.ucsb.edu/ws/index.php?pid=10856"
"44","January 20, 1961","http://www.presidency.ucsb.edu/ws/index.php?pid=8032"
"45","January 20, 1965","http://www.presidency.ucsb.edu/ws/index.php?pid=26985"
"46","January 20, 1969","http://www.presidency.ucsb.edu/ws/index.php?pid=1941"
"47","January 20, 1973","http://www.presidency.ucsb.edu/ws/index.php?pid=4141"
"48","January 20, 1977","http://www.presidency.ucsb.edu/ws/index.php?pid=6575"
"49","January 20, 1981","http://www.presidency.ucsb.edu/ws/index.php?pid=43130"
"50","January 21, 1985","http://www.presidency.ucsb.edu/ws/index.php?pid=38688"
"51","January 20, 1989","http://www.presidency.ucsb.edu/ws/index.php?pid=16610"
"52","January 20, 1993","http://www.presidency.ucsb.edu/ws/index.php?pid=46366"
"53","January 20, 1997","http://www.presidency.ucsb.edu/ws/index.php?pid=54183"
"54","January 20, 2001","http://www.presidency.ucsb.edu/ws/index.php?pid=25853"
"55","January 20, 2005","http://www.presidency.ucsb.edu/ws/index.php?pid=58745"
"56","January 20, 2009","http://www.presidency.ucsb.edu/ws/index.php?pid=44"
"57","January 21, 2013","http://www.presidency.ucsb.edu/ws/index.php?pid=102827"
"58","January 20, 2017","http://www.presidency.ucsb.edu/ws/index.php?pid=120000"
