"","President","File","Term","Party","Date","Words","Win","type","links","urls","sentences","word.count","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","sent.id"
"1","George Washington","GeorgeWashington",1,NA,"April 30, 1789",1431,"Yes","inaug","April 30, 1789","http://www.presidency.ucsb.edu/ws/index.php?pid=25800","Fellow-Citizens of the Senate and of the House of Representatives:Among the vicissitudes incident to life no event could have filled me with greater anxieties than that of which the notification was transmitted by your order, and received on the 14th day of the present month.",45,0,0.0444345700955343,0,0,0.0222172850477672,0,0.0444345700955343,0.0666518551433015,0,0.0888691401910687,1
"2","George Washington","GeorgeWashington",1,NA,"April 30, 1789",1431,"Yes","inaug","April 30, 1789","http://www.presidency.ucsb.edu/ws/index.php?pid=25800","On the one hand, I was summoned by my country, whose voice I can never hear but with veneration and love, from a retreat which I had chosen with the fondest predilection, and, in my flattering hopes, with an immutable decision, as the asylum of my declining years！a retreat which was rendered every day more necessary as well as more dear to me by the addition of habit to inclination, and of frequent interruptions in my health to the gradual waste committed on it by time.",86,0,0.0348796651552145,0.0116265550517382,0.0116265550517382,0.0232531101034763,0,0,0.0116265550517382,0.0348796651552145,0.0813858853621672,2
"3","George Washington","GeorgeWashington",1,NA,"April 30, 1789",1431,"Yes","inaug","April 30, 1789","http://www.presidency.ucsb.edu/ws/index.php?pid=25800","On the other hand, the magnitude and difficulty of the trust to which the voice of my country called me, being sufficient to awaken in the wisest and most experienced of her citizens a distrustful scrutiny into his qualifications, could not but overwhelm with despondence one who ought to be peculiarly conscious of his own deficiencies.",56,0.0178539546509552,0,0,0.0178539546509552,0,0.0178539546509552,0,0.0357079093019104,0.0535618639528656,0.0178539546509552,3
"4","George Washington","GeorgeWashington",1,NA,"April 30, 1789",1431,"Yes","inaug","April 30, 1789","http://www.presidency.ucsb.edu/ws/index.php?pid=25800","In this conflict of emotions all I dare aver is that it has been my faithful study to collect my duty from a just appreciation of every circumstance by which it might be affected.",34,0.0294031167303734,0.0294031167303734,0,0.0294031167303734,0.0294031167303734,0.0294031167303734,0,0.0882093501911203,0.0294031167303734,0.0882093501911203,4
"5","George Washington","GeorgeWashington",1,NA,"April 30, 1789",1431,"Yes","inaug","April 30, 1789","http://www.presidency.ucsb.edu/ws/index.php?pid=25800","All I dare hope is that if, in executing this task, I have been too much swayed by a grateful remembrance of former instances, or by an affectionate sensibility to this transcendent proof of the confidence of my fellow-citizens, and have thence too little consulted my incapacity as well as disinclination for the weighty and untried cares before me, my error will be palliated by the motives which mislead me, and its consequences be judged by my country with some share of the partiality in which they originated.",88,0.0113623451880468,0.0340870355641404,0,0.0340870355641404,0.0340870355641404,0.0113623451880468,0.0113623451880468,0.0795364163163277,0.0340870355641404,0.0795364163163277,5
"6","George Washington","GeorgeWashington",1,NA,"April 30, 1789",1431,"Yes","inaug","April 30, 1789","http://www.presidency.ucsb.edu/ws/index.php?pid=25800","Such being the impressions under which I have, in obedience to the public summons, repaired to the present station, it would be peculiarly improper to omit in this first official act my fervent supplications to that Almighty Being who rules over the universe, who presides in the councils of nations, and whose providential aids can supply every human defect, that His benediction may consecrate to the liberties and happiness of the people of the United States a Government instituted by themselves for these essential purposes, and may enable every instrument employed in its administration to execute with success the functions allotted to his charge.",104,0.00961446014806269,0.0384578405922507,0,0.00961446014806269,0.0288433804441881,0,0.00961446014806269,0.0480723007403134,0.0384578405922507,0.0961446014806269,6
"7","George Washington","GeorgeWashington",1,NA,"April 30, 1789",1431,"Yes","inaug","April 30, 1789","http://www.presidency.ucsb.edu/ws/index.php?pid=25800","In tendering this homage to the Great Author of every public and private good, I assure myself that it expresses your sentiments not less than my own, nor those of my fellow-citizens at large less than either.",37,0,0.0540394487976223,0,0,0.0270197243988111,0,0.0270197243988111,0.108078897595245,0,0.135098621994056,7
"8","George Washington","GeorgeWashington",1,NA,"April 30, 1789",1431,"Yes","inaug","April 30, 1789","http://www.presidency.ucsb.edu/ws/index.php?pid=25800","No people can be bound to acknowledge and adore the Invisible Hand which conducts the affairs of men more than those of the United States.",25,0,0.039984006397441,0,0,0.039984006397441,0,0,0.079968012794882,0.039984006397441,0.079968012794882,8
"9","George Washington","GeorgeWashington",1,NA,"April 30, 1789",1431,"Yes","inaug","April 30, 1789","http://www.presidency.ucsb.edu/ws/index.php?pid=25800","Every step by which they have advanced to the character of an independent nation seems to have been distinguished by some token of providential agency;",25,0,0,0,0,0,0,0,0.039984006397441,0,0.039984006397441,9
"10","George Washington","GeorgeWashington",1,NA,"April 30, 1789",1431,"Yes","inaug","April 30, 1789","http://www.presidency.ucsb.edu/ws/index.php?pid=25800","and in the important revolution just accomplished in the system of their united government the tranquil deliberations and voluntary consent of so many distinct communities from which the event has resulted can not be compared with the means by which most governments have been established without some return of pious gratitude, along with an humble anticipation of the future blessings which the past seem to presage.",66,0.0151492198151795,0.0454476594455386,0.030298439630359,0.030298439630359,0.0757460990758976,0.0454476594455386,0.030298439630359,0.0757460990758976,0.0454476594455386,0.151492198151795,10
