"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","know","busi","america","presid","work","year","freedom","shall","govern","will","interest","law","world","parti","can"
"2","want","increas","new","day","famili","time","free","offic","state","everi","upon","congress","peac","peopl","must"
"3","say","industri","american","man","job","one","men","support","power","countri","may","without","war","republican","nation"
"4","just","product","let","friend","tax","now","life","countri","unit","american","public","execut","nation","chang","peopl"
"5","like","system","futur","thank","children","mani","human","duti","right","make","part","administr","forc","made","great"
"6","well","trade","better","love","help","first","liberti","faith","peopl","believ","present","secur","defens","polit","econom"
"7","thing","labor","live","word","care","last","hope","honor","citizen","never","experi","order","polici","democrat","need"
"8","good","import","world","proud","economi","histori","right","may","constitut","alway","everi","legisl","militari","differ","mean"
"9","way","public","togeth","convent","million","still","justic","servic","protect","fight","union","may","arm","elect","problem"
"10","think","upon","promis","accept","pay","long","nation","confid","within","serv","spirit","constitut","strong","now","fail"
"11","dont","use","see","hous","school","much","equal","best","limit","keep","patriot","shall","also","one","leadership"
"12","that","develop","build","tonight","home","anoth","peopl","call","union","immigr","influenc","effect","use","question","respons"
"13","tell","interest","generat","heart","program","past","women","place","feder","sure","great","upon","strength","person","alon"
"14","back","tariff","old","senat","valu","end","progress","high","form","give","relat","enforc","intern","decis","moral"
"15","get","protect","ask","stand","educ","today","democraci","trust","general","abl","foreign","made","secur","fact","secur"
"16","ive","revenu","look","said","creat","ever","seek","great","respect","good","principl","rule","abroad","choic","greater"
"17","talk","market","centuri","win","plan","two","fear","peopl","direct","hand","promot","act","danger","vote","done"
"18","someth","price","opportun","side","health","sinc","caus","purpos","independ","ever","exist","practic","face","mani","less"
"19","happen","larg","tonight","citi","worker","come","among","respons","whole","bring","preserv","declar","europ","record","common"
"20","weve","farmer","today","nomin","need","ago","yet","upon","principl","next","object","reason","nuclear","whether","understand"
